   198045.164527331      ,   154319.439924587     
   198929.668541016      ,   154079.213183668     
   199816.305212557      ,   153839.113328668     
   200705.602695169      ,   153599.019341470     
   201598.087416693      ,   153358.812840112     
   202494.284063872      ,   153118.378197341     
   203394.715487569      ,   152877.602686219     
   204299.902631262      ,   152636.376625554     
   205210.364442706      ,   152394.593536173     
   206126.617777691      ,   152152.150306157     
   207049.177294506      ,   151908.947366012     
   207978.555337709      ,   151664.888874346     
   208915.261810572      ,   151419.882914780     
   209859.804035188      ,   151173.841704779     
   210812.686599262      ,   150926.681817039     
   211774.411188123      ,   150678.324414089     
   212745.476400963      ,   150428.695497403     
   213726.377549040      ,   150177.726171295     
   214717.606434957      ,   149925.352922433     
   215632.368540206      ,   150440.797874977     
   216371.282902830      ,   152460.506630843     
   217005.206067130      ,   155170.576108962     
   217617.381774471      ,   157788.897185471     
   218207.859383701      ,   160313.492764485     
   218776.605900077      ,   162742.479676600     
   219323.506627670      ,   165074.046273662     
   219848.375964504      ,   167306.469672050     
   220350.939887474      ,   169438.011765544     
   220831.142577662      ,   171468.178893222     
   221289.643084390      ,   173399.756038718     
   221727.601466605      ,   175237.817375682     
   222146.183931735      ,   176987.572985773     
   222546.470427528      ,   178653.943342188     
   222929.481738472      ,   180241.646480853     
   223296.184307442      ,   181755.196517269     
   223647.499261356      ,   183198.924506825     
   223984.308740382      ,   184576.991637690     
   224307.461624249      ,   185893.402939903     
   224617.778301099      ,   187152.019444742     
   224916.054746878      ,   188356.569460124     
   225203.065989361      ,   189510.658883209     
   225479.569059514      ,   190617.780660084     
   225746.305505872      ,   191681.323442088     
   226004.003538990      ,   192704.579495515     
   226253.379861278      ,   193690.751912130     
   226495.141229601      ,   194642.961163785     
   226729.985790602      ,   195564.251040149     
   226958.604221866      ,   196457.594001276     
   227181.680710313      ,   197325.895985960     
   227399.893782332      ,   198172.000667277     
   227613.917042039      ,   198998.693315150     
   227824.419702616      ,   199808.703786265     
   228032.067421344      ,   200604.710536383     
   228237.521602278      ,   201389.338680019     
   228441.443801635      ,   202165.177178291     
   228644.466925177      ,   202934.670294416     
   228847.111271580      ,   203699.803408220     
   229049.778387316      ,   204462.086998870     
   229252.836158255      ,   205222.883266179     
   229456.654679480      ,   205983.542308048     
   229661.602069784      ,   206745.385928260     
   229868.045844845      ,   207509.712500330     
   230076.352662801      ,   208277.795576002     
   230286.888495982      ,   209050.884044449     
   230500.018679830      ,   209830.201755707     
   230716.107987084      ,   210616.947172616     
   230935.520688506      ,   211412.292905126     
   231158.620610968      ,   212217.385171445     
   231385.771190593      ,   213033.343179770     
   231617.335521918      ,   213861.258437645     
   231853.676402781      ,   214702.193993097     
   232095.156374817      ,   215557.183612287     
   232342.137759306      ,   216427.230898428     
   232594.982688092      ,   217313.308357681     
   232854.053128218      ,   218216.356415543     
   233119.710901476      ,   219137.282395697     
   233392.317690881      ,   220076.959443461     
   233672.235058970      ,   221036.225487600     
   233959.824378859      ,   222015.881920747     
   234255.447041259      ,   223016.693222030     
   234559.463576292      ,   224039.382991142     
   234872.236732334      ,   225084.643245270     
   235194.110306476      ,   226153.063291408     
   235525.268119906      ,   227244.669497590     
   235865.652195264      ,   228358.674673880     
   236215.104767340      ,   229493.966132056     
   236573.470049036      ,   230649.448078714     
   236940.590168409      ,   231824.029715260     
   237316.306813451      ,   233016.632591327     
   237700.460563616      ,   234226.190116192     
   238092.890845778      ,   235451.649105837     
   238493.435730498      ,   236691.970718055     
   238901.931781707      ,   237946.131485772     
   239318.213906444      ,   239213.124259826     
   239413.669296348      ,   240244.000985222     
   238859.933395400      ,   240785.258421157     
   237985.531996398      ,   241078.234824051     
   237118.636806999      ,   241369.371434101     
   236258.866586269      ,   241658.767287660     
   235405.832997042      ,   241946.525735209     
   234559.140879840      ,   242232.754283126     
   233718.388507951      ,   242517.564443126     
   232883.167823931      ,   242801.071589304     
   232053.064658598      ,   243083.394822510     
   231227.658933615      ,   243364.656842027     
   230406.524848728      ,   243644.983823820     
   229589.231053739      ,   243924.505305339     
   228775.340806552      ,   244203.354076873     
   227964.412117332      ,   244481.666078932     
   227155.997879653      ,   244759.580305434     
   226349.645990285      ,   245037.238712402     
   225544.899448858      ,   245314.786134586     
   224741.296473938      ,   245592.370197585     
   223938.370542621      ,   245870.141257753     
   223135.650491443      ,   246148.252321784     
   222332.660800362      ,   246426.858903029     
   221528.920388730      ,   246706.119396943     
   220723.946552775      ,   246986.193665959     
   219917.247443146      ,   247267.245618883     
   219108.325698617      ,   247549.441903049     
   218296.774037468      ,   247832.918438083     
   217482.422882430      ,   248117.728507136     
   216665.319252717      ,   248403.849650549     
   215845.554241888      ,   248691.243714740     
   215023.205809115      ,   248979.876828396     
   214198.357618927      ,   249269.712826012     
   213371.092615632      ,   249560.715500320     
   212541.494109420      ,   249852.848229571     
   211709.645981244      ,   250146.073911984     
   210875.632425455      ,   250440.355063400     
   210039.538070985      ,   250735.653782018     
   209201.447941952      ,   251031.931769690     
   208361.447464647      ,   251329.150337279     
   207519.622468378      ,   251627.270412387     
   206676.059184492      ,   251926.252547863     
   205830.844248100      ,   252226.056929684     
   204984.064699465      ,   252526.643384996     
   204135.807985459      ,   252827.971390460     
   203286.161961596      ,   253130.000080663     
   202435.214894765      ,   253432.688256272     
   201583.055466246      ,   253735.994392437     
   200729.772774967      ,   254039.876647239     
   199875.456341437      ,   254344.292870068     
   199020.196111766      ,   254649.200610207     
   198164.082461920      ,   254954.557125489     
   175046.172548349      ,   263214.443757136     
   174197.053090341      ,   263516.860851427     
